ID,WPM,Accuracy(%):,Date:
1,68,0.83,6/15/2025
1,78,0.86,6/15/2025
1,97,0.97,6/15/2025
1,92,0.93,6/15/2025
1,78,0.87,6/15/2025
1,88,0.93,6/15/2025
1,78,0.87,6/15/2025
1,84,0.93,6/15/2025
1,86,0.93,6/15/2025
1,82,0.9,6/15/2025
1,90,0.93,6/15/2025
1,64,0.81,6/15/2025
1,81,0.92,6/15/2025
1,82,0.87,6/15/2025
1,78,0.89,6/15/2025
1,70,0.86,6/15/2025
1,84,0.92,6/15/2025
1,80,0.94,6/15/2025
1,86,0.94,6/15/2025
1,84,0.94,6/15/2025
1,94,0.95,6/15/2025
1,83,0.9,6/15/2025
1,87,0.94,6/15/2025
1,78,0.9,6/15/2025
1,86,0.91,6/15/2025
5,85,0.92,6/16/2025
5,72,0.88,6/16/2025
5,81,0.94,6/16/2025
5,73,0.87,6/16/2025
5,81,0.94,6/16/2025
5,76,0.92,6/16/2025
5,82,0.96,6/16/2025
5,68,0.85,6/16/2025
5,72,0.93,6/16/2025
5,88,0.94,6/16/2025
12,82,0.9,6/16/2025
12,84,0.94,6/16/2025
12,76,0.89,6/16/2025
12,93,0.94,6/16/2025
12,79,0.88,6/16/2025
12,63,0.84,6/16/2025
12,84,0.93,6/16/2025
12,78,0.89,6/16/2025
12,65,0.85,6/16/2025
12,75,0.86,6/16/2025
12,74,0.84,6/16/2025
12,86,0.9,6/16/2025
12,84,0.94,6/16/2025
12,78,0.9,6/16/2025
12,71,0.87,6/16/2025
12,82,0.93,6/16/2025
12,71,0.88,6/16/2025
12,93,0.95,6/16/2025
12,75,0.89,6/16/2025
12,83,0.92,6/16/2025
12,72,0.85,6/16/2025
12,84,0.93,6/16/2025
12,77,0.9,6/16/2025
12,70,0.88,6/16/2025
12,81,0.92,6/16/2025
12,75,0.88,6/16/2025
12,81,0.93,6/16/2025
12,61,0.89,6/16/2025
12,80,0.92,6/16/2025
12,72,0.89,6/16/2025
12,66,0.8,6/16/2025
12,73,0.85,6/16/2025
12,84,0.91,6/16/2025
12,75,0.9,6/16/2025
12,80,0.93,6/16/2025
12,79,0.91,6/16/2025
12,68,0.95,6/16/2025
12,77,0.93,6/16/2025
12,75,0.93,6/16/2025
12,74,0.91,6/16/2025
12,83,0.92,6/16/2025
12,78,0.89,6/16/2025
12,69,0.84,6/16/2025
12,75,0.92,6/16/2025
12,74,0.91,6/16/2025
12,77,0.92,6/16/2025
12,78,0.89,6/16/2025
12,89,0.95,6/16/2025
12,74,0.86,6/16/2025
12,88,0.88,6/16/2025
5,89,0.93,6/17/2025
5,82,0.9,6/17/2025
5,84,0.93,6/17/2025
5,81,0.88,6/17/2025
5,89,0.97,6/17/2025
5,80,0.9,6/17/2025
5,81,0.91,6/17/2025
5,80,0.88,6/17/2025
5,78,0.9,6/17/2025
5,75,0.86,6/17/2025
6,93,0.93,6/17/2025
6,79,0.86,6/17/2025
6,92,0.93,6/17/2025
6,79,0.88,6/17/2025
6,82,0.9,6/17/2025
6,85,0.93,6/17/2025
6,75,0.86,6/17/2025
6,89,0.91,6/17/2025
6,96,0.94,6/17/2025
6,78,0.88,6/17/2025
6,75,0.84,6/17/2025
6,88,0.92,6/17/2025
6,82,0.94,6/17/2025
6,82,0.92,6/17/2025
6,89,0.94,6/17/2025
6,86,0.95,6/17/2025
6,78,0.88,6/17/2025
6,83,0.91,6/17/2025
6,83,0.93,6/17/2025
6,90,0.93,6/17/2025
6,88,0.92,6/17/2025
6,78,0.91,6/17/2025
6,88,0.93,6/17/2025
6,91,0.94,6/17/2025
6,78,0.89,6/17/2025
6,85,0.93,6/17/2025
6,94,0.95,6/17/2025
6,89,0.94,6/17/2025
6,96,0.95,6/17/2025
6,86,0.91,6/17/2025
6,88,0.9,6/17/2025
6,94,0.95,6/17/2025
6,75,0.86,6/17/2025
6,86,0.91,6/17/2025
6,88,0.95,6/17/2025
6,92,0.95,6/17/2025
6,83,0.92,6/17/2025
6,75,0.89,6/17/2025
6,74,0.87,6/17/2025
6,90,0.94,6/17/2025
6,71,0.86,6/17/2025
6,78,0.86,6/17/2025
6,86,0.95,6/17/2025
6,96,0.95,6/17/2025
6,80,0.93,6/17/2025
6,80,0.88,6/17/2025
6,78,0.9,6/17/2025
6,84,0.9,6/17/2025
6,66,0.83,6/17/2025
6,88,0.93,6/17/2025
5,60,0.82,6/18/2025
5,76,0.9,6/18/2025
5,74,0.9,6/18/2025
5,76,0.85,6/18/2025
5,85,0.92,6/18/2025
5,81,0.9,6/18/2025
5,87,0.92,6/18/2025
5,67,0.86,6/18/2025
5,91,0.95,6/18/2025
5,83,0.92,6/18/2025
8,70,0.87,6/18/2025
8,74,0.9,6/18/2025
8,65,0.86,6/18/2025
8,70,0.87,6/18/2025
8,84,0.92,6/18/2025
8,68,0.87,6/18/2025
8,75,0.87,6/18/2025
8,67,0.85,6/18/2025
8,84,0.95,6/18/2025
8,85,0.96,6/18/2025
8,88,0.91,6/18/2025
8,78,0.9,6/18/2025
8,98,0.98,6/18/2025
8,76,0.9,6/18/2025
8,80,0.94,6/18/2025
8,75,0.88,6/18/2025
8,84,0.91,6/18/2025
8,77,0.9,6/18/2025
8,82,0.94,6/18/2025
8,69,0.87,6/18/2025
8,85,0.9,6/18/2025
8,88,0.93,6/18/2025
8,85,0.91,6/18/2025
8,102,0.95,6/18/2025
8,69,0.81,6/18/2025
8,81,0.9,6/18/2025
8,78,0.9,6/18/2025
8,70,0.85,6/18/2025
8,67,0.83,6/18/2025
8,80,0.87,6/18/2025
8,89,0.93,6/18/2025
8,86,0.93,6/18/2025
8,90,0.96,6/18/2025
8,79,0.91,6/18/2025
8,75,0.91,6/18/2025
8,80,0.9,6/18/2025
8,82,0.92,6/18/2025
8,91,0.93,6/18/2025
8,76,0.9,6/18/2025
8,74,0.88,6/18/2025
8,88,0.92,6/18/2025
8,64,0.82,6/18/2025
8,91,0.96,6/18/2025
8,64,0.85,6/18/2025
8,77,0.93,6/18/2025
8,85,0.94,6/18/2025
8,64,0.88,6/18/2025
8,82,0.95,6/18/2025
8,91,0.92,6/18/2025
8,91,0.98,6/18/2025
5,89,0.95,6/20/2025
5,67,0.88,6/20/2025
5,68,0.9,6/20/2025
5,86,0.95,6/20/2025
5,67,0.88,6/20/2025
5,78,0.93,6/20/2025
5,80,0.93,6/20/2025
5,94,0.98,6/20/2025
5,72,0.9,6/20/2025
5,71,0.89,6/20/2025
3,75,0.92,6/20/2025
3,74,0.92,6/20/2025
3,85,0.96,6/20/2025
3,86,0.96,6/20/2025
3,80,0.95,6/20/2025
3,79,0.94,6/20/2025
3,82,0.95,6/20/2025
3,78,0.95,6/20/2025
3,91,0.94,6/20/2025
3,72,0.88,6/20/2025
3,78,0.92,6/20/2025
3,91,0.95,6/20/2025
3,88,0.96,6/20/2025
3,82,0.92,6/20/2025
3,78,0.91,6/20/2025
3,76,0.91,6/20/2025
3,68,0.92,6/20/2025
3,89,0.97,6/20/2025
3,67,0.9,6/20/2025
3,75,0.94,6/20/2025
3,79,0.97,6/20/2025
3,76,0.92,6/20/2025
3,64,0.89,6/20/2025
3,76,0.91,6/20/2025
3,74,0.93,6/20/2025
3,87,0.95,6/20/2025
3,73,0.91,6/20/2025
3,81,0.92,6/20/2025
3,86,0.97,6/20/2025
3,67,0.87,6/20/2025
3,80,0.94,6/20/2025
3,70,0.88,6/20/2025
3,78,0.93,6/20/2025
3,72,0.94,6/20/2025
3,80,0.93,6/20/2025
3,82,0.96,6/20/2025
3,88,0.97,6/20/2025
3,75,0.95,6/20/2025
3,73,0.93,6/20/2025
3,83,0.96,6/20/2025
3,66,0.88,6/20/2025
3,79,0.91,6/20/2025
3,70,0.89,6/20/2025
3,82,0.95,6/20/2025
3,75,0.94,6/20/2025
3,80,0.94,6/20/2025
3,81,0.92,6/20/2025
3,68,0.89,6/20/2025
3,74,0.91,6/20/2025
3,78,0.94,6/20/2025
5,82,0.92,6/21/2025
5,97,0.96,6/21/2025
5,73,0.88,6/21/2025
5,76,0.92,6/21/2025
5,78,0.9,6/21/2025
5,79,0.92,6/21/2025
5,76,0.89,6/21/2025
5,85,0.92,6/21/2025
5,76,0.88,6/21/2025
5,81,0.93,6/21/2025
11,89,0.96,6/21/2025
11,74,0.89,6/21/2025
11,85,0.95,6/21/2025
11,79,0.94,6/21/2025
11,65,0.88,6/21/2025
11,75,0.91,6/21/2025
11,75,0.9,6/21/2025
11,83,0.93,6/21/2025
11,70,0.88,6/21/2025
11,70,0.86,6/21/2025
11,82,0.93,6/21/2025
11,82,0.93,6/21/2025
11,95,0.95,6/21/2025
11,82,0.9,6/21/2025
11,81,0.92,6/21/2025
11,88,0.93,6/21/2025
11,80,0.85,6/21/2025
11,83,0.94,6/21/2025
11,87,0.95,6/21/2025
11,86,0.95,6/21/2025
11,94,0.96,6/21/2025
11,92,0.97,6/21/2025
11,76,0.9,6/21/2025
11,88,0.94,6/21/2025
11,89,0.93,6/21/2025
11,78,0.88,6/21/2025
11,82,0.92,6/21/2025
11,79,0.91,6/21/2025
11,88,0.95,6/21/2025
11,92,0.94,6/21/2025
11,96,0.97,6/21/2025
11,94,0.94,6/21/2025
11,71,0.86,6/21/2025
11,79,0.91,6/21/2025
11,89,0.94,6/21/2025
11,87,0.93,6/21/2025
11,66,0.84,6/21/2025
11,82,0.89,6/21/2025
11,91,0.95,6/21/2025
11,83,0.92,6/21/2025
11,92,0.94,6/21/2025
11,81,0.9,6/21/2025
11,78,0.88,6/21/2025
11,80,0.9,6/21/2025
11,85,0.92,6/21/2025
11,75,0.88,6/21/2025
11,90,0.93,6/21/2025
11,72,0.86,6/21/2025
11,78,0.89,6/21/2025
11,80,0.87,6/21/2025
5,78,0.93,6/22/2025
5,88,0.95,6/22/2025
5,87,0.95,6/22/2025
5,77,0.94,6/22/2025
5,84,0.94,6/22/2025
5,82,0.95,6/22/2025
5,80,0.96,6/22/2025
5,76,0.94,6/22/2025
5,85,0.95,6/22/2025
5,84,0.92,6/22/2025
4,86,0.94,6/22/2025
4,85,0.92,6/22/2025
4,99,0.99,6/22/2025
4,86,0.93,6/22/2025
4,86,0.96,6/22/2025
4,81,0.89,6/22/2025
4,89,0.95,6/22/2025
4,84,0.96,6/22/2025
4,84,0.92,6/22/2025
4,81,0.91,6/22/2025
4,91,0.95,6/22/2025
4,92,0.93,6/22/2025
4,82,0.92,6/22/2025
4,84,0.92,6/22/2025
4,80,0.9,6/22/2025
4,87,0.91,6/22/2025
4,84,0.92,6/22/2025
4,94,0.95,6/22/2025
4,84,0.94,6/22/2025
4,80,0.89,6/22/2025
4,75,0.88,6/22/2025
4,86,0.94,6/22/2025
4,78,0.9,6/22/2025
4,91,0.93,6/22/2025
4,76,0.91,6/22/2025
4,82,0.93,6/22/2025
4,88,0.92,6/22/2025
4,96,0.95,6/22/2025
4,79,0.9,6/22/2025
4,73,0.85,6/22/2025
4,82,0.92,6/22/2025
4,95,0.94,6/22/2025
4,76,0.82,6/22/2025
4,84,0.93,6/22/2025
4,92,0.94,6/22/2025
4,81,0.9,6/22/2025
4,78,0.89,6/22/2025
4,88,0.93,6/22/2025
4,87,0.95,6/22/2025
4,73,0.86,6/22/2025
4,84,0.89,6/22/2025
4,94,0.96,6/22/2025
4,90,0.97,6/22/2025
4,90,0.94,6/22/2025
4,79,0.92,6/22/2025
4,92,0.94,6/22/2025
4,75,0.9,6/22/2025
4,80,0.88,6/22/2025
4,88,0.95,6/22/2025
4,87,0.95,6/22/2025
5,86,0.94,6/23/2025
5,86,0.95,6/23/2025
5,85,0.94,6/23/2025
5,93,0.96,6/23/2025
5,80,0.9,6/23/2025
5,90,0.93,6/23/2025
5,71,0.89,6/23/2025
5,84,0.93,6/23/2025
5,91,0.96,6/23/2025
5,82,0.95,6/23/2025
2,87,0.92,6/23/2025
2,81,0.89,6/23/2025
2,80,0.9,6/23/2025
2,94,0.95,6/23/2025
2,91,0.95,6/23/2025
2,89,0.94,6/23/2025
2,85,0.92,6/23/2025
2,76,0.87,6/23/2025
2,89,0.94,6/23/2025
2,97,0.96,6/23/2025
2,92,0.92,6/23/2025
2,94,0.96,6/23/2025
2,82,0.91,6/23/2025
2,82,0.9,6/23/2025
2,93,0.93,6/23/2025
2,80,0.93,6/23/2025
2,85,0.92,6/23/2025
2,101,0.97,6/23/2025
2,74,0.84,6/23/2025
2,91,0.93,6/23/2025
2,68,0.86,6/23/2025
2,90,0.92,6/23/2025
2,91,0.95,6/23/2025
2,85,0.88,6/23/2025
2,84,0.91,6/23/2025
2,93,0.94,6/23/2025
2,89,0.89,6/23/2025
2,87,0.93,6/23/2025
2,88,0.94,6/23/2025
2,76,0.9,6/23/2025
2,85,0.9,6/23/2025
2,90,0.92,6/23/2025
2,94,0.94,6/23/2025
2,80,0.89,6/23/2025
2,80,0.93,6/23/2025
2,94,0.94,6/23/2025
2,92,0.95,6/23/2025
2,83,0.93,6/23/2025
2,84,0.91,6/23/2025
2,84,0.91,6/23/2025
2,78,0.9,6/23/2025
2,94,0.96,6/23/2025
2,90,0.94,6/23/2025
2,99,0.98,6/23/2025
2,82,0.89,6/23/2025
2,79,0.93,6/23/2025
2,82,0.94,6/23/2025
2,100,0.97,6/23/2025
2,94,0.96,6/23/2025
2,81,0.89,6/23/2025
5,92,0.94,6/24/2025
5,72,0.87,6/24/2025
5,88,0.95,6/24/2025
5,95,0.97,6/24/2025
5,86,0.95,6/24/2025
5,78,0.89,6/24/2025
5,93,0.95,6/24/2025
5,80,0.89,6/24/2025
5,87,0.94,6/24/2025
5,90,0.92,6/24/2025
13,88,0.94,6/24/2025
13,82,0.9,6/24/2025
13,82,0.93,6/24/2025
13,85,0.95,6/24/2025
13,85,0.9,6/24/2025
13,92,0.94,6/24/2025
13,77,0.92,6/24/2025
13,79,0.88,6/24/2025
13,88,0.93,6/24/2025
13,84,0.92,6/24/2025
13,80,0.92,6/24/2025
13,74,0.9,6/24/2025
13,80,0.92,6/24/2025
13,68,0.89,6/24/2025
13,92,0.93,6/24/2025
13,79,0.94,6/24/2025
13,81,0.9,6/24/2025
13,75,0.9,6/24/2025
13,73,0.86,6/24/2025
13,67,0.85,6/24/2025
13,79,0.9,6/24/2025
13,71,0.84,6/24/2025
13,69,0.87,6/24/2025
13,82,0.92,6/24/2025
13,83,0.89,6/24/2025
13,79,0.85,6/24/2025
13,80,0.9,6/24/2025
13,84,0.94,6/24/2025
13,91,0.94,6/24/2025
13,82,0.91,6/24/2025
13,81,0.88,6/24/2025
13,72,0.89,6/24/2025
13,92,0.97,6/24/2025
13,75,0.89,6/24/2025
13,75,0.92,6/24/2025
13,88,0.96,6/24/2025
13,86,0.93,6/24/2025
13,76,0.88,6/24/2025
13,86,0.94,6/24/2025
13,79,0.9,6/24/2025
13,62,0.86,6/24/2025
13,81,0.93,6/24/2025
13,80,0.93,6/24/2025
13,78,0.9,6/24/2025
13,74,0.9,6/24/2025
13,88,0.96,6/24/2025
13,69,0.85,6/24/2025
13,85,0.92,6/24/2025
13,92,0.95,6/24/2025
13,78,0.9,6/24/2025
5,87,0.9,6/25/2025
5,90,0.97,6/25/2025
5,83,0.95,6/25/2025
5,88,0.94,6/25/2025
5,89,0.95,6/25/2025
5,88,0.94,6/25/2025
5,78,0.91,6/25/2025
5,79,0.88,6/25/2025
5,77,0.88,6/25/2025
5,74,0.87,6/25/2025
10,90,0.93,6/25/2025
10,84,0.94,6/25/2025
10,95,0.98,6/25/2025
10,93,0.96,6/25/2025
10,91,0.95,6/25/2025
10,91,0.93,6/25/2025
10,97,0.96,6/25/2025
10,89,0.94,6/25/2025
10,96,0.98,6/25/2025
10,78,0.9,6/25/2025
10,76,0.87,6/25/2025
10,89,0.96,6/25/2025
10,92,0.97,6/25/2025
10,86,0.91,6/25/2025
10,85,0.94,6/25/2025
10,88,0.95,6/25/2025
10,89,0.93,6/25/2025
10,86,0.94,6/25/2025
10,83,0.92,6/25/2025
10,88,0.94,6/25/2025
10,94,0.97,6/25/2025
10,84,0.95,6/25/2025
10,84,0.93,6/25/2025
10,97,0.96,6/25/2025
10,98,0.98,6/25/2025
10,90,0.94,6/25/2025
10,84,0.92,6/25/2025
10,90,0.95,6/25/2025
10,96,0.96,6/25/2025
10,73,0.9,6/25/2025
10,84,0.92,6/25/2025
10,77,0.9,6/25/2025
10,92,0.94,6/25/2025
10,84,0.94,6/25/2025
10,71,0.86,6/25/2025
10,82,0.9,6/25/2025
10,86,0.91,6/25/2025
10,80,0.91,6/25/2025
10,76,0.87,6/25/2025
10,97,0.98,6/25/2025
10,98,0.98,6/25/2025
10,84,0.9,6/25/2025
10,86,0.92,6/25/2025
10,77,0.89,6/25/2025
10,81,0.93,6/25/2025
10,89,0.91,6/25/2025
10,96,0.97,6/25/2025
10,80,0.89,6/25/2025
10,80,0.9,6/25/2025
10,78,0.9,6/25/2025
5,86,0.93,6/26/2025
5,82,0.92,6/26/2025
5,68,0.87,6/26/2025
5,89,0.97,6/26/2025
5,77,0.91,6/26/2025
5,95,0.97,6/26/2025
5,81,0.92,6/26/2025
5,82,0.93,6/26/2025
5,77,0.89,6/26/2025
5,73,0.89,6/26/2025
9,90,0.94,6/26/2025
9,71,0.85,6/26/2025
9,83,0.93,6/26/2025
9,95,0.95,6/26/2025
9,84,0.9,6/26/2025
9,76,0.88,6/26/2025
9,72,0.85,6/26/2025
9,89,0.93,6/26/2025
9,73,0.86,6/26/2025
9,90,0.97,6/26/2025
9,81,0.89,6/26/2025
9,90,0.96,6/26/2025
9,73,0.87,6/26/2025
9,82,0.89,6/26/2025
9,83,0.96,6/26/2025
9,82,0.89,6/26/2025
9,86,0.94,6/26/2025
9,90,0.96,6/26/2025
9,74,0.87,6/26/2025
9,92,0.96,6/26/2025
9,78,0.88,6/26/2025
9,87,0.96,6/26/2025
9,89,0.96,6/26/2025
9,88,0.93,6/26/2025
9,91,0.95,6/26/2025
9,98,0.95,6/26/2025
9,86,0.91,6/26/2025
9,82,0.93,6/26/2025
9,84,0.94,6/26/2025
9,84,0.9,6/26/2025
9,74,0.85,6/26/2025
9,88,0.96,6/26/2025
9,99,0.97,6/26/2025
9,86,0.91,6/26/2025
9,86,0.92,6/26/2025
9,73,0.87,6/26/2025
9,77,0.89,6/26/2025
9,93,0.96,6/26/2025
9,88,0.91,6/26/2025
9,77,0.89,6/26/2025
9,78,0.93,6/26/2025
9,82,0.94,6/26/2025
9,87,0.95,6/26/2025
9,87,0.94,6/26/2025
9,78,0.92,6/26/2025
9,83,0.91,6/26/2025
9,86,0.9,6/26/2025
9,76,0.86,6/26/2025
9,81,0.91,6/26/2025
9,94,0.95,6/26/2025
